id	firstName	lastName	birthDate	birthPlace	motherName	gender	postalCode	email	phone	membership	joinedAt
9593cf0f-4baa-4ec6-84eb-95f8846e8ed6	Isom	Watsica	1973-02-05	East Creolamouth	Julia Satterfield		24258	salvador.becker58@yahoo.com	19874249156	normal	2025-02-06
2b16b88a-8322-4546-ac5e-97a2c0f87d64	Aida	Sauer	1982-04-15	Kochcester	Allen Hayes	M	25226	patrick87@hotmail.com	8144868517	gold	2022-03-08
38a236f0-eba3-44d0-beb7-c91686ecbb36	Nelle	Doyle	2006-04-05	Kadenborough	Eula Runte	M	92063	vito12@yahoo.com	3286890026	gold	2022-01-24
40f51f65-e421-4497-8643-4f5124130be9	Gunner	Dach	1977-08-26	Sanfordmouth	Scott Bergstrom	M	15140	lula.hudson@gmail.com	6974811214	normal	2020-08-18
a713e159-cf9e-4305-a85e-a1b6c102ab91	Franco	Abernathy	1986-02-07	Johnstonmouth	Ernesto Schinner	F	60192	louvenia_langworth-brown@gmail.com	9554792160	normal	2021-09-02
5fd5adf2-c94f-4d8b-a39b-bff7f2be836e	Justina	Ryan	1976-02-03	St. George	Irma Kilback	F	26138	amy.runolfsdottir86@hotmail.com	2682103971	normal	2025-03-06
7fd3bd90-fa33-42a8-953c-3dfcb4cf22c4	Katherine	Von	1987-03-24	Vicenteside	Aaron Simonis-McGlynn IV	M	43276	walton46@gmail.com	7754990020	normal	2020-09-15
a4214b90-11fa-4024-aa2d-143f05a47732	Loren	Cormier	2005-03-10	Lake Jesus	Cecil Ullrich	M	46002	mohamed_kuhic97@hotmail.com	12598192710	normal	2022-01-20
a377823f-ed7f-4eb0-a3a2-f27a0a982cf6	Adelle	Brekke	2004-10-07	Mannfurt	Jenna Adams		28021	gillian_pagac46@gmail.com	9637399945	normal	2022-01-15
d6971191-ebf0-4644-a906-00b8035c93ec	Verdie	Effertz	1982-12-10	South George	Cody Monahan		87882	alysson.runolfsdottir@gmail.com	7488867581	normal	2024-08-24
7eda2247-714e-4e1b-84f7-dad978f9b59c	Noel	Strosin	1959-11-01	Port Ruthhaven	Della Lindgren-Metz	M	43058	marge_bednar13@gmail.com	8685662087	vip	2025-02-10
0c5f33ac-11d3-4720-ae59-f7d8729c4028	Zella	Braun	1940-01-21	Vista	Julia Kunde	F	40184	broderick_stanton@gmail.com	16152217209	normal	2025-01-13
a594ae0c-3711-469e-83af-bb3a7fa1f1b1	Shaina	Ritchie	1986-10-05	West Jaceyboro	Darryl Hills	M	17691	meta.bode@gmail.com	443	normal	2021-07-31
dba4ec5f-ad79-4410-9c41-075aa299832c	Raymundo	Thiel	1970-05-29	North Santaview	Kellie Medhurst	F	64291	treva74@hotmail.com	283	normal	2020-05-11
239877da-af38-4a2f-b939-5de97de67465	Shayne	Kuhn	1968-09-06	Fort Robbiemouth	Kristy Dare		91230	adrain.corkery@hotmail.com	19726267941	normal	2020-10-02
0da321f5-d8de-4625-9cb8-3fddfd6aa5a2	Marietta	Roberts	1928-04-11	Ashleighfort	Jonathon Howell	M	37955	ray81@yahoo.com	17133219151	normal	2024-01-30
